Sample	total_reads	pseudoaligned_reads	not_pseudoaligned_reads	percent_aligned
mappedReads | SRR8668755	89921353.0	47428272.0	42493081.0	52.7441707866651
mappedReads | SRR8668756	84483855.0	58288191.0	26195664.0	68.99328990136637
mappedReads | SRR8668757	95110159.0	46362615.0	48747544.0	48.74622804489266
mappedReads | SRR8668758	30161579.0	18767491.0	11394088.0	62.223171406245015
mappedReads | SRR8668759	5323802.0	2561286.0	2762516.0	48.11009124681947
mappedReads | SRR8668769	94251532.0	63736528.0	30515004.0	67.62386419352843
mappedReads | SRR8668771	64436537.0	33613239.0	30823298.0	52.16487503045051
mappedReads | SRR8668772	68179906.0	37050207.0	31129699.0	54.34182763466996
mappedReads | SRR8668773	69980123.0	45789217.0	24190906.0	65.43174695477457
mappedReads | SRR8668774	133387934.0	78655820.0	54732114.0	58.96771742487593
